Class,A1x_1,A1y_1,A1z_1,G1x_1,G1y_1,G1z_1,A2x_1,A2y_1,A2z_1,G2x_1,G2y_1,G2z_1,A3x_1,A3y_1,A3z_1,G3x_1,G3y_1,G3z_1,A4x_1,A4y_1,A4z_1,G4x_1,G4y_1,G4z_1,A1x_2,A1y_2,A1z_2,G1x_2,G1y_2,G1z_2,A2x_2,A2y_2,A2z_2,G2x_2,G2y_2,G2z_2,A3x_2,A3y_2,A3z_2,G3x_2,G3y_2,G3z_2,A4x_2,A4y_2,A4z_2,G4x_2,G4y_2,G4z_2
Calcio,-7.3671,7.87,0.1677,-0.9337,11.6023,3.2322,-7.8721,-2.9736,-6.9863,-1.1492,8.0397,-4.2329,-0.1389,-0.0835,1.657,-0.472,-0.4422,0.2932,-3.1315,2.0321,1.2819,0.2496,0.7482,-0.248,-8.9143,7.6689,0.6802,0.8475,11.4539,2.9449,-2.7869,-2.8683,-7.015,-0.929,9.3805,-3.6248,0.7093,-0.9754,1.9082,-0.0851,-0.6907,0.24,-2.9037,1.8645,0.3656,0.3134,1.5165,-0.6577
Calcio,-8.9143,7.6689,0.6802,0.8475,11.4539,2.9449,-2.7869,-2.8683,-7.015,-0.929,9.3805,-3.6248,0.7093,-0.9754,1.9082,-0.0851,-0.6907,0.24,-2.9037,1.8645,0.3656,0.3134,1.5165,-0.6577,-6.5671,4.517,2.2801,-1.5179,7.5753,1.8244,-2.988,-1.6855,-11.0708,2.3846,8.327,-4.9273,1.3164,-0.0043,1.5389,0.2863,0.7093,-0.1548,-3.6758,1.6948,-0.1841,0.2458,0.8455,-0.1112
Calcio,-6.5671,4.517,2.2801,-1.5179,7.5753,1.8244,-2.988,-1.6855,-11.0708,2.3846,8.327,-4.9273,1.3164,-0.0043,1.5389,0.2863,0.7093,-0.1548,-3.6758,1.6948,-0.1841,0.2458,0.8455,-0.1112,-6.6486,8.6556,0.182,-0.7949,8.6383,2.0399,-2.15,4.6783,-10.659,1.1205,7.6088,-5.8227,1.0759,-0.9344,1.293,0.3783,0.3852,0.2533,-2.5238,0.1767,0.3358,-0.0335,-0.5209,0.2123
Calcio,-6.6486,8.6556,0.182,-0.7949,8.6383,2.0399,-2.15,4.6783,-10.659,1.1205,7.6088,-5.8227,1.0759,-0.9344,1.293,0.3783,0.3852,0.2533,-2.5238,0.1767,0.3358,-0.0335,-0.5209,0.2123,-6.6677,7.5587,1.231,0.1484,9.3422,2.0686,-1.2689,4.5633,-9.5098,0.4214,9.4188,-5.2337,0.6886,-0.158,1.3079,0.0814,0.6348,0.0122,-2.3205,-0.3129,0.589,-0.0548,-0.2884,0.0825
Calcio,-6.6677,7.5587,1.231,0.1484,9.3422,2.0686,-1.2689,4.5633,-9.5098,0.4214,9.4188,-5.2337,0.6886,-0.158,1.3079,0.0814,0.6348,0.0122,-2.3205,-0.3129,0.589,-0.0548,-0.2884,0.0825,-4.5649,9.1538,1.1209,0.0335,9.3709,-0.3639,-1.6855,7.9248,-7.6423,0.9864,9.3039,-3.9217,0.6971,0.0591,0.9285,0.1075,-1.1653,-0.0032,-1.8315,-0.4975,0.9865,0.0825,0.0474,-0.0915
Calcio,-4.5649,9.1538,1.1209,0.0335,9.3709,-0.3639,-1.6855,7.9248,-7.6423,0.9864,9.3039,-3.9217,0.6971,0.0591,0.9285,0.1075,-1.1653,-0.0032,-1.8315,-0.4975,0.9865,0.0825,0.0474,-0.0915,-1.8777,9.3118,1.2646,-0.249,9.9072,0.9242,-4.9799,7.5848,-7.2832,0.1484,9.1602,-5.0182,0.8775,-1.0105,0.6816,-0.0112,-0.9796,0.0458,-1.6293,-0.7583,0.9594,-0.0729,-0.7402,0.2097
Fine,-1.8777,9.3118,1.2646,-0.249,9.9072,0.9242,-4.9799,7.5848,-7.2832,0.1484,9.1602,-5.0182,0.8775,-1.0105,0.6816,-0.0112,-0.9796,0.0458,-1.6293,-0.7583,0.9594,-0.0729,-0.7402,0.2097,-3.5255,8.9382,-0.5173,0.8523,9.2943,2.3367,-3.122,9.0692,-5.612,0.5219,9.0166,-5.7509,0.8865,-0.0234,0.3411,-0.2708,0.0277,-0.016,-1.0892,-0.3533,0.2927,-0.0096,-0.107,0.067
Inizio,0.1341,9.6615,2.8405,3.5721,10.9223,1.3264,-0.6512,7.2209,-5.5641,-0.6225,11.3294,8.102,0.7412,2.2088,-0.2458,-0.3959,0.969,-0.0074,-0.3108,1.1919,-0.7982,1.8949,7.9689,-6.1076,-2.007,10.495,5.9971,0.3543,6.3782,7.8626,-2.241,9.0644,-4.6639,-2.5809,-1.1923,-3.3471,-0.2512,4.0377,-1.0163,-0.4826,1.0429,1.0578,-0.3688,0.9589,-0.763,-1.0536,0.3326,-1.1637
Calcio,-2.007,10.495,5.9971,0.3543,6.3782,7.8626,-2.241,9.0644,-4.6639,-2.5809,-1.1923,-3.3471,-0.2512,4.0377,-1.0163,-0.4826,1.0429,1.0578,-0.3688,0.9589,-0.763,-1.0536,0.3326,-1.1637,1.8825,10.8399,5.6139,7.5274,8.2073,6.3351,-4.4772,21.4377,10.5919,-3.395,8.0637,-8.8969,-8.6953,2.7968,-0.6939,0.7721,5.5627,0.2522,2.8213,1.7219,-2.6175,0.7726,0.2469,-0.4496
Calcio,1.8825,10.8399,5.6139,7.5274,8.2073,6.3351,-4.4772,21.4377,10.5919,-3.395,8.0637,-8.8969,-8.6953,2.7968,-0.6939,0.7721,5.5627,0.2522,2.8213,1.7219,-2.6175,0.7726,0.2469,-0.4496,-0.6371,21.2438,1.9927,3.5051,9.0932,11.4491,0.9098,19.6133,-1.2833,3.4333,10.6781,-9.5146,-6.2805,6.1342,1.8741,2.594,0.9014,-0.5529,3.9775,4.399,-3.0719,0.48,1.9944,-0.5864
Calcio,-0.6371,21.2438,1.9927,3.5051,9.0932,11.4491,0.9098,19.6133,-1.2833,3.4333,10.6781,-9.5146,-6.2805,6.1342,1.8741,2.594,0.9014,-0.5529,3.9775,4.399,-3.0719,0.48,1.9944,-0.5864,0.9676,17.2873,21.2486,-24.7608,12.0428,1.3408,24.215,16.2854,-19.7665,-6.7086,8.5281,-8.6431,-7.3847,4.3293,-0.4097,1.731,4.9263,-1.7219,-0.3214,2.3237,-4.0584,0.0921,3.5593,-0.9695
